,index,word
0,0,하다
1,1,을
2,2,에
3,3,를
4,4,있다
5,5,보다
6,6,도
7,7,영화
8,8,이다
9,9,되다
10,10,그
11,11,으로
12,12,없다
13,13,내
14,14,에서
15,15,나
16,16,로
17,17,않다
18,18,적
19,19,사람
20,20,같다
21,21,과
22,22,좋다
23,23,다
24,24,생각
25,25,말
26,26,아니다
27,27,만
28,28,년
29,29,일
30,30,너무
31,31,그렇다
32,32,인
33,33,와
34,34,고
35,35,하고
36,36,정말
37,37,못
38,38,때
39,39,되어다
40,40,안
41,41,가다
42,42,에게
43,43,더
44,44,사랑
45,45,싶다
46,46,들다
47,47,오다
48,48,게
49,49,나오다
50,50,시간
51,51,받다
52,52,자다
53,53,모르다
54,54,까지
55,55,왜
56,56,만들다
57,57,난
58,58,진짜
59,59,월
60,60,많다
61,61,마음
62,62,그리고
63,63,점
64,64,이렇다
65,65,때문
66,66,재밌다
67,67,먹다
68,68,나다
69,69,거
70,70,지금
71,71,그냥
72,72,알다
73,73,너
74,74,에는
75,75,친구
76,76,주다
77,77,중
78,78,다시
79,79,보고
80,80,지
81,81,서
82,82,오빠
83,83,또
84,84,날
85,85,많이
86,86,하나
87,87,버리다
88,88,저
89,89,우리
90,90,좀
91,91,전
92,92,제
93,93,부터
94,94,이렇게
95,95,두
96,96,어떻다
97,97,오늘
98,98,최고
99,99,연기
100,100,뭐
101,101,자신
102,102,요
103,103,다른
104,104,해주다
105,105,좋아하다
106,106,그렇게
107,107,잘
108,108,평점
109,109,라고
110,110,네
111,111,랑
112,112,정도
113,113,차다
114,114,집
115,115,ㅋㅋ
116,116,드라마
117,117,한테
118,118,이나
119,119,이야기
120,120,처음
121,121,만나다
122,122,내다
123,123,걸
124,124,속
125,125,하지만
126,126,시작
127,127,알
128,128,살다
129,129,돈
130,130,처럼
131,131,라는
132,132,스토리
133,133,위
134,134,힘들다
135,135,크다
136,136,면
137,137,위해
138,138,여자
139,139,개
140,140,대한
141,141,이제
142,142,감동
143,143,느끼다
144,144,아깝다
145,145,쓰다
146,146,라
147,147,니
148,148,감독
149,149,나르다
150,150,분
151,151,엄마
152,152,내용
153,153,엔
154,154,시
155,155,안되다
